English,Malayalam
what is going on with international news,അന്താരാഷ്ട്ര വാർത്തകളിൽ എന്താണ് സംഭവിക്കുന്നത്
send tweet to walmart,ലുലു മാളിലേക്ക് ട്വീറ്റ് അയക്കുക
notifications,അറിയിപ്പുകൾ
what event is next,അടുത്ത സംഭവം എന്താണ്
google the word,വാക്ക് ഗൂഗിൾ ചെയ്യുക
what's the band is playing now,എന്താണ് ബാന്‍ഡ് പാടികൊണ്ടിരിക്കുന്നത്
hey olly what time is it in orlando florida,ഹേയ് ഓളി കോഴിക്കോട്ട് സമയം എത്രയായി
what are the details of this event,ഈ സംഭവത്തിന്റെ വിശദാംശങ്ങൾ എന്തൊക്കെയാണ്
what i like today,ഇന്ന് ഞാൻ എന്താണ് ഇഷ്ടപ്പെടുന്നത്
find me the nearest chinese for delivery,ഡെലിവറിക്ക് ഏറ്റവും അടുത്തുള്ള ചൈനീസ് കണ്ടെത്തൂ
find the list,പട്ടിക കണ്ടെത്തുക
play my favorite music right now,എന്‍റെ ഇഷ്ടപ്പെട്ട സംഗീതം ഇപ്പോള്‍ പ്ലേ ചെയ്യുക
play that last song,ആ അവസാന ഗാനം പ്ലേ ചെയ്യുക
is mary's birthday party tonight,ഇന്ന് രാത്രി മേരിയുടെ ജന്മദിന പാർട്ടിയാണ്
mute the music,സംഗീതം നിശബ്ദമാക്കുക
can you tell me the time right now,ഇപ്പോൾ സമയം പറയാമോ
start a new shopping list,ഒരു പുതിയ വാങ്ങേണ്ട സാധനങ്ങളുടെ പട്ടിക ആരംഭിക്കുക
will it rain in the noon,ഉച്ചയ്ക്ക് മഴ പെയ്യുമോ
play prairie home companion on the car radio,കാർ റേഡിയോയിൽ വേൽമുരുക വെക്കുക
add an appointment with my dentist for ten am next monday,അടുത്ത തിങ്കളാഴ്ച രാവിലെ പത്തുമണിക്ക് എൻ്റെ ദന്തഡോക്ടറുമായുള്ള ഒരു അപ്പോയിൻമെൻ്റ് ചേർക്കുക
i want to cancel the recording i have on the d. v. r. list for this morning,ഇന്ന് രാവിലത്തെ ഡി. വി. ആർ പട്ടികയിലുള്ള റെക്കോർഡിംഗ് റദ്ദാക്കാൻ ഞാൻ ആഗ്രഹിക്കുന്നു
i want to hear a joke,എനിക്ക് ഒരു തമാശ കേൾക്കണം
am i gonna need rain boots,എനിക്ക് ഗം ബൂട്ടുകൾ ആവശ്യമാണോ
please write to this email,ദയവായി ഈ ഇമെയിലിലേക്ക് എഴുതുക
how old is miley cyrus,ശ്രേയ ഘോഷാലിന് എത്ര വയസ്സുണ്ട്
explain it to me,അത് എനിക്ക് വിശദീകരിക്കുക
olly turn the volume up,olly ഒച്ച കൂട്ടുക
what year was this song recorded,ഏത് വർഷമാണ് ഈ ഗാനം റെക്കോർഡ് ചെയ്തത്
can you tweet a complaint to the furniture store customer service,ഫർണിച്ചർ സ്റ്റോർ ഉപഭോക്തൃ സേവനത്തിലേക്ക് നിങ്ങൾക്ക് ഒരു പരാതി ട്വീറ്റ് ചെയ്യാമോ
olly play songs from my playlist,ഓളി എന്‍റെ പ്ലേലിസ്റ്റിൽ നിന്നും പാട്ടുകള്‍ വെക്കുക
turn the lights off,ലൈറ്റുകൾ ഓഫ് ചെയ്യുക
switch on the plug,പ്ലഗ് ഓണാക്കുക
send email to new email address,പുതിയ ഇമെയിൽ വിലാസത്തിലേക്ക് ഇമെയില്‍ അയയ്ക്കുക
i want to know what the latest news,ഏറ്റവും പുതിയ വാർത്തകൾ എന്താണെന്ന് അറിയാൻ ഞാൻ ആഗ്രഹിക്കുന്നു
how cold will it be next tuesday,അടുത്ത ചൊവ്വാഴ്ച എത്ര തണുപ്പായിരിക്കും
is there more traffic in canal street,കൊച്ചി കായല്‍ ഒരുപാട് ഗതാഗത തിരക്കുണ്ടോ
what are the latest updates on my facebook account,എൻ്റെ ഫേസ്ബുക്ക് അക്കൗണ്ടിലെ ഏറ്റവും പുതിയ അപ്‌ഡേറ്റുകൾ എന്തൊക്കെയാണ്
open podcast player,തുറന്ന പോഡ്കാസ്റ്റ് പ്ലെയർ
please turn off all the lights in the house,ദയവായി വീട്ടിലെ എല്ലാ ലൈറ്റുകളും ഓഫ് ആക്കുക
can you add my brother's birthday dinner at rusk for march twenty third,മാർച്ച് ഇരുപത്തി മൂന്നിന് കൊച്ചിയില്‍ എൻ്റെ സഹോദരൻ്റെ ജന്മദിന അത്താഴം നിങ്ങൾ ചേര്‍ക്കുമോ
stock price,ഓഹരി വില
give me the driving directions from faripir to gurpur,പാളയത്ത് നിന്ന് പത്തനാപുരത്തേക്ക് വണ്ടി ഓടിക്കുന്നതിനുള്ള ദിശകൾ എനിക്ക് തരൂ
ask them to remember always to lock the door and keep a careful watch on their keys,വാതിൽ അടയ്ക്കുകയും അവരുടെ താക്കോൽ ശ്രദ്ധാപൂർവ്വം നിരീക്ഷിക്കുകയും ചെയ്യുന്നത് എല്ലായ്പ്പോഴും ഓർക്കാൻ അവരോട് ആവശ്യപ്പെടുക
what is the traffic like right now,ഇപ്പോൾ ട്രാഫിക്ക് എങ്ങനെയുണ്ട്
tell me about my schedule for the next month,അടുത്ത മാസത്തേക്കുള്ള എന്റെ പട്ടികയെ കുറിച് എന്നോട് പറയൂ
check mail with subject,വിഷയവുമായി ബന്ധപ്പെട്ട മെയിൽ പരിശോധിക്കുക
write a complaint to alzacz for the tablet i bought today,ഞാൻ ഇന്ന് വാങ്ങിയ ടാബ്‌ലെറ്റിനായി രവിസിന് ഒരു പരാതി എഴുതുക
please list all my alarms,ദയവായി എന്‍റെ എല്ലാ അലാറങ്ങളും ലിസ്റ്റുചെയ്യുക
is it hot or cold outside,പുറത്ത് ചൂടോ തണുപ്പോ
it is too loud decrease the volume,ഒച്ച കൂടുതലാണ് അതിനാൽ കുറയ്ക്കുക
give me all my recent emails,എൻ്റെ സമീപകാല എല്ലാ ഇമെയിലുകൾ തരൂ
turn my smart plug socket on,എൻ്റെ സ്മാർട്ട് പ്ളഗ് സോക്കറ്റ് ഓൺ ആക്കുക
turn it to frequency nine hundred and ninety seven,ഫ്രീക്വൻസി തൊള്ളായിരത്തി തൊണ്ണൂറ്റി ഏഴ് ഓണ്‍ ആക്കുക
can you check train schedule to berkeley,നിങ്ങൾക്ക് പൊന്നാനിയിലേക്കുള്ള ട്രെയിന്‍ ഷെഡ്യൂൾ പരിശോധിക്കാമോ
do i have an appointment for january the third,ജനുവരി മൂന്നിലേക്ക് എനിക്ക് അപ്പോയിന്റ്മെന്റ് ഉണ്ടോ
do you have any updates on blank,നിങ്ങൾക്ക് ശൂന്യമായ ഏതെങ്കിലും അപ്ഡേറ്റുകൾ ഉണ്ടോ
temperature now,ഇപ്പോൾ താപനില
please order take from jason's deli,പിസ്സ ഹട്ടിൽ നിന്ന് പാഴ്സൽ ഓർഡർ ചെയ്യുക
can you tell me about animal kingdom in amazon forest,സൈലന്‍റ് വാലി വനത്തിലെ മൃഗരാജ്യത്തെക്കുറിച്ച് പറയാമോ
what is s. d. in francs,എത്രയാണ് രൂപ ഇന്ത്യ യിൽ
can i find out information about a contact,എനിക്ക് ഒരു കോൺടാക്റ്റിനെക്കുറിച്ചുള്ള വിവരങ്ങൾ കണ്ടെത്താൻ കഴിയുമോ
what is the latest news,എന്താണ് ഏറ്റവും പുതിയ വാർത്ത
mute immediately,ഉടൻ നിശബ്ദമാക്കുക
rate this song five stars and save the rating,ഈ പാട്ടിന് അഞ്ച് നക്ഷത്രങ്ങൾ വിലയിരുത്തി റേറ്റിംഗ് സംരക്ഷിക്കുക
tweet i am doing well on twitter,ട്വീറ്റ് ഞാൻ ട്വിറ്ററിൽ നന്നായി പ്രവർത്തിക്കുന്നു
could you please tell when we have to pay for car insurance,ഞങ്ങൾ എപ്പോഴാണ് കാർ ഇൻഷുറൻസിനായി പണം നൽകേണ്ടതെന്ന് നിനക്ക് ദയവായി പറയാമോ
find and read to me world events happening today,ഇന്ന് നടക്കുന്ന ലോക സംഭവങ്ങൾ കണ്ടെത്തി എനിക്ക് വായിക്കൂ
tweet pizza hut their delivery guy is an hour late,ഡുൻസോവിൻ്റെ ഡെലിവറി ഗൈ ഒരു മണിക്കൂർ വൈകി എന്ന് ട്വീറ്റ് ചെയ്യുക
did i tell you to remind me something,ഞാന്‍ നിന്നോട് എന്തെങ്കിലും ഓര്‍മിപ്പിക്കുവാന്‍ പറഞ്ഞിരുന്നോ
what is the weather for the school week,സ്കൂൾ വാരത്തിലെ കാലാവസ്ഥ എന്താണ്
what lists have i got set up,എന്തൊക്കെ പട്ടികകളാണ് ഞാൻ സജ്ജീകരിച്ചിരിക്കുന്നത്
evening,വൈകുന്നേരം
can we go to sun,നമുക്ക് സൂര്യനിലേക്ക് പോകാമോ
open the new york times app,ന്യൂയോർക്ക് ടൈംസ് ആപ്പ് തുറക്കുക
is there a correlation between the weather in beijing and nasdaq prices over the last week,കഴിഞ്ഞ ആഴ്‌ചയിലെ കൊച്ചിലെ കാലാവസ്ഥയും നാസ്ഡാക്ക് വിലയും തമ്മിൽ ഒരു ബന്ധമുണ്ടോ
tell me about jaipur,തിരുവനന്തപുരത്തെ കുറിച്ച് പറയൂ
i need next week's lunch put on the calendar,അടുത്ത ആഴ്ചയിലെ ഉച്ചഭക്ഷണം എനിക്ക് കലണ്ടറിൽ ചേർക്കണം
what is happening this weekend,ഈ വാരാന്ത്യത്തിൽ എന്താണ് സംഭവിക്കുന്നത്
where can i find a good taco truck in l. a.,കോഴിക്കോട് എവിടെ എനിക്ക് കോഫി ഡേ കണ്ടെത്താം
position the top five most listened to songs on my playlist in a queue starting at most listened to,കൂടുതല്‍ കേള്‍ക്കുന്ന അഞ്ച് പാട്ട് എന്‍റെ പ്ലേ ലിസ്റ്റ് ഇല്‍ എത്രമത് ആണോ
buy a train ticket,ഒരു തീവണ്ടി ടിക്കറ്റ് വാങ്ങുക
please tell me the pending reminders,ബാക്കിയുള്ള ഓര്‍മപ്പെടുത്തലുകള്‍ എന്നോട് പറയുക
what did my wife leave to be done,എന്‍റെ ഭാര്യ എന്താണ് ചെയ്യാൻ വിട്ടത്
please tell me how can i remove the item,എനിക്ക് എങ്ങനെ ഇനം നീക്കം ചെയ്യാം എന്ന് ദയവായി എന്നോട് പറയൂ
can you boil the kettle,നിങ്ങൾക്ക് കെറ്റിൽ പാകം ചെയ്യാമോ
what week of the year does the summer season start,വർഷത്തിലെ ഏത് ആഴ്ചയിലാണ് വേനൽക്കാലം ആരംഭിക്കുന്നത്
please complaint that my mobile is in the service center for too long,എന്റെ മൊബൈൽ സേവന കേന്ദ്രത്തിൽ ദീർഘനേരം ഉണ്ടെന്ന് ദയവായി പരാതിപ്പെടുക
define alarm,അലാറം നിർവചിക്കുക
family entertainment,കുടുംബ വിനോദം
can it takeaway from ammi biryani,അമ്മി ബിരിയാണി യിൽ നിന്ന് എടുക്കാമോ
remind me tomorrow morning of my schedules for tuesday,ചൊവ്വാഴ്ചത്തെ എൻ്റെ ഷെഡ്യൂളുകൾ നാളെ രാവിലെ എന്നെ ഓർമ്മിപ്പിക്കുക
what is the meaning of placid,എന്താണ് ശാന്തത എന്നതിന്റെ അർത്ഥം
what is going on today from two four p. m.,ഇന്ന് രണ്ട് മുതൽ നാല് മണി വരെ എന്താണ് നടക്കുന്നത്
hey olly turn the radio on,ഹേയ് ഓളി റേഡിയോ ഓൺ ചെയ്യൂ
answer email from sally,രാധികയുടെ ഇമെയിൽ മറുപടി
open solitaire play with me,സോളിറ്റയർ തുറന്ന് എന്നോടൊപ്പം കളിക്കുക
what date is tomorrow,നാളെ ഏത് തീയതിയാണ്
hey google can you save next monday night for my date with carl,ഹേയ് google സാറയുമായുള്ള എൻ്റെ ഡേറ്റിനായി നിങ്ങൾക്ക് അടുത്ത തിങ്കളാഴ്ച രാത്രി സേവ് ചെയ്യാമോ
what is the current exchange rate with the g. b. p.,രൂപ എക്സ്ചേഞ്ച് വില എന്താണ്
find radio,റേഡിയോ കണ്ടെത്തുക
clear my day on the twenty ninth,ഇരുപത്തി ഒന്‍പത് എന്ന തിയ്യതി ശൂന്യമാക്കുക
i would like to hear the podcast of the heat game that is being played tonight,ഇന്ന് രാത്രി കളിയ്ക്കാന്‍ പോകുന്ന heat game podcast എനിക്ക് കേള്‍ക്കണം
olly i'll be seeing my therapist every thursday at two p. m.,ഓളി ഞാൻ എല്ലാ വ്യാഴാഴ്ചയും ഉച്ചയ്ക്ക് രണ്ട് മണിക്ക് എന്റെ തെറാപ്പിസ്റ്റിനെ കാണും
notify me one hour before my meeting,യോഗത്തിന് ഒരു മണിക്കൂർ മുമ്പ് എന്നെ അറിയിക്കുക
are any of my new emails from amy,അമ്മുവിൽ നിന്നുള്ള എൻ്റെ ഏതെങ്കിലും പുതിയ ഇമെയിലുകൾ
i want five hours freed up for jenn's birthday this saturday,ഈ ശനിയാഴ്ച ജെന്നിൻ്റെ ജന്മദിനത്തിനായി എനിക്ക് അഞ്ച് മണിക്കൂർ സമയം ഫ്രീ ആക്കണം
get rid of my eight am alarm,എന്റെ രാവിലെ എട്ട് മണി അലാറം ഒഴിവാക്കൂ
give me the latest news,ഏറ്റവും പുതിയ വാർത്തകൾ എനിക്ക് തരൂ
add event on august twenty one at nine am,ഓഗസ്റ്റ് ഇരുപത്തിയൊന്നിന് രാവിലെ ഒമ്പതിന് ഇവൻ്റ് ചേർക്കുക
put alarm at five am,രാവിലെ അഞ്ചിന് അലാറം വെക്കൂ
hey has john sent me any email lately,ഈയിടെയായി ജോൺ എനിക്ക് എന്തെങ്കിലും ഇമെയിൽ അയച്ചിട്ടുണ്ട്
change the living room light to yellow,സ്വീകരണമുറി വിളക്ക് മഞ്ഞ ആക്കി മാറ്റുക
i'm bored play a game,എനിക്ക് മടുത്തു ഒരു കളി കളിക്കൂ
yo what's the current time,യോ ഇപ്പോഴത്തെ സമയം എന്താണ്
do you want to hear what have happened today,ഇന്ന് എന്താണ് സംഭവിച്ചതെന്ന് നിങ്ങൾക്ക് കേൾക്കണോ
current,നിലവിൽ
add mop to hardware store list,ഹാർഡ്‌വെയർ കടയുടെ പട്ടികയിലേക്ക് മോപ്പ് ചേർക്കുക
start my movies soundtrack list,എൻ്റെ സിനിമകളുടെ സൗണ്ട് ട്രാക്ക് ലിസ്റ്റ് ആരംഭിക്കുക
is my golf game going to get rained out,എൻ്റെ ഗോൾഫ് ഗെയിം മഴ പെയ്യാൻ പോകുന്നു
switch the station to eighty nine point four,തൊണ്ണൂറ്റിയൊന്ന് പോയിൻ്റ് മൂന്നിലേക്ക് സ്റ്റേഷൻ മാറ്റുക
tell funny things,രസകരമായ കാര്യങ്ങൾ പറയുക
tweet a customer complaint on the service at the long horn steak house alexa,സംസം ഹോട്ടലിലെ സേവനത്തെക്കുറിച്ചുള്ള ഉപഭോക്തൃ പരാതി ട്വീറ്റ് ചെയ്യുക alexa
tell me what is the nicest place to go,പോകാൻ പറ്റിയ നല്ല സ്ഥലങ്ങൾ പറയുക
on all the button on dashboard,ഡാഷ്‌ബോർഡിലെ എല്ലാ ബട്ടണിലും
i need one cup of coffee,എനിക്ക് ഒരു കപ്പ് കാപ്പി വേണം
what is the weather report,എന്താണ് കാലാവസ്ഥ റിപ്പോർട്ട്
what days are my alarms set for,എന്റെ അലാറങ്ങൾ ഏതൊക്കെ ദിവസത്തേക്കാണ് സജ്ജീകരിച്ചിരിക്കുന്നത്
let me know what's accumulated in my inbox since three p. m.,വൈകുന്നേരം മൂന്ന് മണി മുതൽ എൻ്റെ ഇൻബോക്‌സിൽ എന്താണ് കുമിഞ്ഞുകൂടുന്നതെന്ന് എന്നെ അറിയിക്കൂ
showcase the radio,റേഡിയോ പ്രദർശിപ്പിക്കുക
lets begin buddy,തുടങ്ങാം സുഹൃത്തേ
olly play i can't feel my face,ആരോ നെഞ്ചില്‍ പ്ലേ ചെയ്യുക
send email to boss not feeling well taking a sick day,രോഗിയായത് കൊണ്ട് ഒരു ദിവസം സിക്ക് ലീവ് എടുക്കുന്നു എന്ന് ബോസിന് ഇമെയിൽ അയയ്ക്കുക
what date is my anniversary,എൻ്റെ വാർഷികം ഏത് തീയതിയിലാണ്
this is one of the best songs for me,എനിക്ക് പറ്റിയ ഏറ്റവും നല്ല പാട്ടുകളിൽ ഒന്നാണിത്
train times location,ട്രെയിൻ സമയത്തിൻ്റെ സ്ഥാനം
play the bjork album i've heard the least,ഞാൻ ഏറ്റവും കുറച്ച് കേട്ടിട്ടുള്ള യേശുദാസിൻ്റെ ആൽബം പ്ലേ ചെയ്യുക
activate radio and tune into nine hundred and eighty nine,റേഡിയോ ഓണാക്കി നൂറ്റിരണ്ട് പോയിൻ്റ് മൂന്നിലേക്ക് ട്യൂൺ ചെയ്യുക
how much is twenty argentinian pesos in pounds,ഇരുപത് ഇന്ത്യൻ രൂപ എന്നത് എത്ര പൗണ്ട് ആണ്
what's the time in this time zone,ഈ സമയമേഖലയിൽ സമയം എത്രയാണ്
define blanket,പുതപ്പ് നിർവ്വചിക്കുക
hello what time it is now,ഹലോ ഇപ്പോൾ സമയം എത്രയായി
how long till the eventual heat death of the universe,പ്രപഞ്ചത്തിന്‍റെ ആത്യന്തികമായ താപ മരണം വരെ എത്രത്തോളം
alexa mark my calendar as unavailable today,alexa എൻ്റെ കലണ്ടറിൽ ഇന്ന് ലഭ്യമല്ല എന്ന് അടയാളപ്പെടുത്തുക
tell me about rihana,ചിത്രയെ കുറിച്ച് പറയൂ
i want to know more about the fair this weekend,ഈ വാരാന്ത്യത്തിൽ എനിക്ക് മേളയെക്കുറിച്ച് കൂടുതലറിയണം
what's the weather right now,ഇപ്പോൾ കാലാവസ്ഥ എന്താണ്
olly call me a cab to the train station,olly റെയിൽവേ സ്റ്റേഷനിലേക്ക് എനിക്ക് ഒരു വണ്ടി വിളിക്കൂ
birthday,ജന്മദിനം
i don't have enough money to buy the nintendo switch right now can you please remove it on my amazon wishlist,നിൻ്റെൻഡോ സ്വിച്ച് വാങ്ങാൻ ഇപ്പോൾ എൻ്റെ പക്കൽ മതിയായ പണമില്ല ദയവായി അത് എൻ്റെ ആമസോൺ വിഷ്‌ലിസ്റ്റിൽ നിന്ന് നീക്കം ചെയ്യാമോ
can you give the date today,ഇന്ന് തീയതി തരാമോ
turn off lobby light,ലോബി ലൈറ്റ് ഓഫ് ചെയ്യുക
how is the current stock price looking for charmin,നിലവിലെ സ്റ്റോക്ക് വില ചാര്‍മിന്‍ എങ്ങനെ തിരയുന്നു
does dominoes deliver,ഡോമിനോസ് ഡെലിവർ ചെയ്യുന്നു
please book train ticket to new york,കണ്ണൂരിലേക്ക് തീവണ്ടി ടിക്കറ്റ് ബുക്ക് ചെയ്യുക
keep the socket in off condition,സോക്കറ്റ് ഓഫ് സ്ഥിതിയിൽ വെയ്ക്കുക
wake me up at four am,പുലർച്ചെ നാല് മണിക്ക് എന്നെ ഉണർത്തുക
taxi now,ടാക്സി ഇപ്പോള്‍
delete every event,എല്ലാ ഇവൻ്റുകളും ഇല്ലാതാക്കുക
turn the chandelier all the way up,തൂക്കുവിളക്ക് മുകളിലേക്ക് മുഴുവൻ തിരിക്കുക
what do i need to make french toast,പൊറോട്ട എങ്ങനെ ഉണ്ടാക്കാം
turn on my electronic playlist,എൻ്റെ ഡിസ്കോ പ്ലേലിസ്റ്റ് ഓണാക്കുക
who is the singer of this song right now,ഈ പാട്ടിന്‍റെ ഗായകന്‍ ആരാണ്
what bars are around me,എന്‍റെ സമീപത്തുള്ള മദ്യശാല ഏതാണ്
set the volume higher,ഒച്ച കൂട്ടി വെക്കുക
i want to hear metallica on my rock playlist,പോപ്പ് പ്ലേലിസ്റ്റിൽ നിന്ന് എനിക്ക് തൈക്കുടം ബ്രിഡ്ജ് കേൾക്കണം
search for gluten free menus,പത്തിരി മെനുകൾ തിരയുക
next last,അടുത്ത അവസാനം
show geographic details of pyramids,പിരമിഡുകളുടെ ഭൂമിശാസ്ത്രപരമായ വിശദാംശങ്ങൾ കാണിക്കുക
what time is the next event scheduled,അടുത്ത സംഭവം ഷെഡ്യൂൾ ചെയ്തിരിക്കുന്നത് എന്നാണ്
just add a new email in my contacts from michael,അപ്പുവിൽ നിന്നുള്ള എന്‍റെ കോൺടാക്റ്റുകളിൽ ഒരു പുതിയ ഇമെയില്‍ ചേർക്കുക
i need a reminder alarm at one,എനിക്കു ഒരു മണിക്ക് ഒരു ഓർമ്മിപ്പിക്കാനുള്ള അലാറം വേണം
become a helicopter,ഒരു ഹെലികോപ്റ്റർ ആകുക
resume a song from the audiobook by elvis presley,ഗോപി സുന്ദര്‍ ഓഡിയോപുസ്തകം പാട്ട് പുനരാരംഭിക്കുക
olly delete last item listed,olly പട്ടികയിലുള്ള അവസാനത്തെ ഇനം നീക്കം ചെയ്യുക
do i need to put a jacket on when i go outside,ഞാൻ പുറത്തു പോകുമ്പോൾ ഒരു ജാക്കറ്റ് ഇടേണ്ടതുണ്ടോ
hello i want to turn off my wemo plug,ഹലോ എനിക്ക് എന്റെ വെമോ പ്ലഗ് ഓഫ് ചെയ്യണം
i need to talk to mom,എനിക്ക് അമ്മയോട് സംസാരിക്കണം
please provide the contents of the list,ദയവായി പട്ടികയുടെ ഉള്ളടക്കം നൽകുക
tell me who wrote this song,ഈ ഗാനം എഴുതിയത് ആരാണെന്ന് എന്നോട് പറയൂ
olly find a description about a samsung t. v.,ഒല്ലി ഒരു സാംസങ് ടി. വി.യെക്കുറിച്ചുള്ള ഒരു വിവരണം കണ്ടെത്തുന്നു
what events are scheduled this week,ഈ ആഴ്ച എന്തൊക്കെ പരിപാടികൾ ആണ് ഷെഡ്യൂൾ ചെയ്തിരിക്കുന്നത്
what is the hobby of ajay devgn,എന്താണ് നിവിൻ പോളിയുടെ ഹോബി
give me a classical radio station,എനിക്ക് ഒരു ശാസ്ത്രീയ സംഗീതം റേഡിയോ നിലയം തരൂ
i want the light to be switched off,ലൈറ്റ് ഓഫ് ചെയ്യണമെന്ന് ഞാൻ ആഗ്രഹിക്കുന്നു
tell me c. n. n. news for me right now,എന്നോട് പറയൂ സി. എൻ. എൻ. എനിക്കിപ്പോൾ വാർത്ത
fetch me the phone number of alexander,എനിക്ക് അഭിലാഷിന്റെ ഫോൺ നമ്പർ കൊണ്ടുവരിക
what time is it in pacific standard time,ഇന്ത്യൻ സ്റ്റാൻഡേർഡ് സമയം എത്രയാണ്
is it ten,പത്താണോ
when does the next train traveling the city leave here,നഗരത്തിലേക്ക് പോകുന്ന അടുത്ത തീവണ്ടി എപ്പോഴാണ് ഇവിടെ നിന്ന് പുറപ്പെടുക
please play some songs for kids,കുട്ടികൾക്കായി കുറച്ച് പാട്ടുകൾ പ്ലേ ചെയ്യൂ
what do you know about america,ഇന്ത്യയെക്കുറിച്ച് നിങ്ങൾക്ക് എന്തറിയാം
hey olly tell me what shops i am near,ഹേയ് ഓളി എന്നോട് പറയൂ ഏതൊക്കെ കടകളാണ് എന്റെ അടുത്തുള്ളതെന്ന്
hey can you delete the list of things i needed to get from the store,ഹേയ് കടയിൽ നിന്ന് വാങ്ങേണ്ടിയിരുന്ന സാധനങ്ങളുടെ പട്ടിക നിങ്ങൾക്ക് ഇല്ലാതാക്കാമോ
can you give me a run-down on john legend,ജയലളിത നിങ്ങൾക്ക് എനിക്ക് ഒരു റൺ-ഡൗൺ തരാമോ
skip to next episode,next episode ഇലെക്ക് പോകുക
what are the jobs to be done today,ഇന്ന് ചെയ്യേണ്ട ജോലികൾ എന്തൊക്കെയാണ്
do i have any appointments tomorrow,എനിക്ക് നാളെ എന്തെങ്കിലും കൂടികാഴ്ചകള്‍ ഉണ്ടോ
definition for object name,വസ്തുവിന്റെ പേരിന്റെ നിർവചനം
can you please buy me a train ticket,ദയവായി എനിക്ക് വേണ്ടി ഒരു തീവണ്ടി ടിക്കറ്റ് വാങ്ങാമോ
any signs of rain,മഴയുടെ ഏതെങ്കിലും ലക്ഷണങ്ങൾ
if it is twelve hours ahead of eastern standard centaur time what's the time in the philippines now,ഇത് കിഴക്ക് സമയ മേഖലയില്‍ പന്ത്രണ്ട് മണിക്കൂര്‍ മുന്‍പിലാണെങ്കില്‍ ഇപ്പോള്‍ കോഴിക്കോട് സമയം എന്താണ്
remove my office meeting event for next week,അടുത്ത ആഴ്ചയിലെ എൻ്റെ ഓഫീസ് യോഗം എന്ന ഇവൻ്റ് നീക്കം ചെയ്യുക
give me the list of all events coming up in the next month and set notifications for all of them,അടുത്ത മാസം നടക്കാനിരിക്കുന്ന എല്ലാ പരിപാടികളുടെ ലിസ്റ്റ് എനിക്ക് തരൂ അവയ്‌ക്കെല്ലാം അറിയിപ്പുകൾ സജ്ജീകരിക്കൂ
what time is the black tie gala dinner supposed to begin,ബ്ലാക്ക് ടൈ ഗാല അത്താഴം എത്ര മണിക്കാണ് തുടങ്ങുന്നത്
how much is one dollar in euros,യൂറോയിൽ ഒരു രൂപ എത്രയാണ്
could you please create a pandora channel for adele,യേശുദാസ്നായി നിങ്ങൾക്ക് ഒരു പണ്ടോറ ചാനല്‍ സൃഷ്ടിക്കാമോ
hi what are you doing,ഹായ് നിങ്ങൾ എന്താണ് ചെയ്യുന്നത്
i am need of an evening rain coat,എനിക്ക് ഒരു വൈകുന്നേരത്തുപയോഗിക്കാനുള്ള മഴക്കോട്ട് വേണം
send me current news for the day,ഇന്നത്തെ വാർത്തകൾ എനിക്ക് അയക്കുക
after cooking the stuffs add some masala content and cook it again in a tawa and serve,വിഭവങ്ങൾ പാകം ചെയ്തതിനു ശേഷം കുറച്ച് മസാല പൊടികളും ചേർത്ത് വീണ്ടും തവയിൽ വേവിച്ചു വിളമ്പുക
are there any email updates,ഏതെങ്കിലും ഇമെയില്‍ അപ്ഡേറ്റുകൾ ഉണ്ടോ
shazaam,shazaam
list out,പട്ടികപ്പെടുത്തുക
play the next one,അടുത്തത് പ്ലേ ചെയ്യൂ
solution for eighty one divided by nine,എൺപത്തിയൊന്നിനുള്ള പരിഹാരം ഒമ്പത് കൊണ്ട് ഹരിക്കുക
can i make back home without a traffic jam,ഗതാഗതക്കുരുക്കില്ലാതെ എനിക്ക് വീട്ടിലേക്ക് മടങ്ങാൻ കഴിയുമോ
find the shortest distance for the location needed,ആവശ്യമുള്ള സ്ഥലത്തേക്കുള്ള ഏറ്റവും കുറഞ്ഞ ദൂരം കണ്ടെത്തുക
weather in home town,സ്വന്തം പട്ടണത്തിലെ കാലാവസ്ഥ
define acceleration,ത്വരണം നിർവ്വചിക്കുക
olly i need to hear some sad songs today,ഒളി ഇന്ന് എനിക്ക് കുറച്ച് ശോക ഗാനങ്ങൾ കേൾക്കണം
explain how to sear a steak,ഒരു ഇറച്ചിക്കഷ്ണം എങ്ങനെ വേർപെടുത്താമെന്ന് വിശദീകരിക്കുക
hey olly please set a reminder for tomorrow morning ten am meeting,ഹേയ് olly നാളെ രാവിലെ പത്ത് മണിക്കുള്ള യോഗത്തിന് ഒരു റിമൈൻഡർ സെറ്റ് ചെയ്യുക
good night,ശുഭ രാത്രി
remove yams,മരച്ചീനി നീക്കം ചെയ്യുക
i would like for us to play jeopardy now,നമുക്ക് ടെമ്പിൾ റൺ ഇപ്പോള്‍ കളിക്കാം
tell me the email address for aunt ruth,അമ്മായി കല്യാണിയുടെ ഇമെയിൽ വിലാസം പറയൂ
you need to find an alternate route to my destination,എൻ്റെ ലക്ഷ്യസ്ഥാനത്തേക്കുള്ള ഒരു ബദൽ റൂട്ട് നീ കണ്ടെത്തണം
there's a good band playing tonight at nine at jazz bar i want to go,ഞാൻ പോകാൻ ആഗ്രഹിക്കുന്ന ജാസ് ബാറിൽ ഇന്ന് രാത്രി ഒമ്പത് മണിക്ക് ഒരു നല്ല ബാൻഡ് വാദനം നടക്കുന്നു
